timestamp,inventory,cash_position,mid_price,portfolio_value,unrealized_pnl
2025-04-21 09:45:00,-1,1000000.0,362.94,999637.065,0.0
2025-04-21 09:45:30,-1,1000000.0,362.88,999637.125,0.0
2025-04-21 09:46:00,-1,1000000.0,362.51,999637.485,0.0
2025-04-21 09:46:30,-1,1000000.0,362.23,999637.77,0.0
2025-04-21 09:47:00,-1,1000000.0,362.13,999637.865,0.0
2025-04-21 09:47:30,-1,1000000.0,362.25,999637.755,0.0
2025-04-21 09:48:00,-1,1000000.0,362.32,999637.675,0.0
2025-04-21 09:48:30,-1,1000000.0,362.77,999637.23,0.0
2025-04-21 09:49:00,-1,1000000.0,363.06,999636.94,0.0
2025-04-21 09:49:30,-1,1000000.0,362.8,999637.2,0.0
2025-04-21 09:50:00,-1,1000000.0,362.88,999637.125,0.0
2025-04-21 09:50:30,-1,1000000.0,363.01,999636.985,0.0
2025-04-21 09:51:00,-1,1000000.0,362.73,999637.27,0.0
2025-04-21 09:51:30,-1,1000000.0,362.78,999637.22,0.0
2025-04-21 09:52:00,-1,1000000.0,362.75,999637.255,0.0
2025-04-21 09:52:30,-1,1000000.0,362.68,999637.315,0.0
2025-04-21 09:53:00,-1,1000000.0,362.46,999637.545,0.0
2025-04-21 09:53:30,-1,1000000.0,362.25,999637.755,0.0
2025-04-21 09:54:00,-1,1000000.0,362.12,999637.875,0.0
2025-04-21 09:54:30,0,999637.7,362.28,999637.7,-0.0
2025-04-21 09:55:00,0,999637.7,362.15,999637.7,0.0
2025-04-21 09:55:30,0,999637.7,362.1,999637.7,0.0
2025-04-21 09:56:00,0,999637.7,362.17,999637.7,0.0
2025-04-21 09:56:30,0,999637.7,361.94,999637.7,0.0
2025-04-21 09:57:00,0,999637.7,361.76,999637.7,0.0
2025-04-21 09:57:30,0,999637.7,361.6,999637.7,0.0
2025-04-21 09:58:00,0,999637.7,361.6,999637.7,0.0
2025-04-21 09:58:30,0,999637.7,361.4,999637.7,0.0
2025-04-21 09:59:00,0,999637.7,361.25,999637.7,0.0
2025-04-21 09:59:30,0,999637.7,361.17,999637.7,0.0
2025-04-21 10:00:00,0,999637.7,360.97,999637.7,0.0
2025-04-21 10:00:30,0,999637.7,360.73,999637.7,0.0
2025-04-21 10:01:00,0,999637.7,360.83,999637.7,0.0
2025-04-21 10:01:30,0,999637.7,360.91,999637.7,0.0
2025-04-21 10:02:00,0,999637.7,360.71,999637.7,0.0
2025-04-21 10:02:30,0,999637.7,360.63,999637.7,0.0
2025-04-21 10:03:00,0,999637.7,360.58,999637.7,0.0
2025-04-21 10:03:30,0,999637.7,360.48,999637.7,0.0
2025-04-21 10:04:00,0,999637.7,360.66,999637.7,0.0
2025-04-21 10:04:30,0,999637.7,360.6,999637.7,0.0
2025-04-21 10:05:00,0,999637.7,360.47,999637.7,0.0
2025-04-21 10:05:30,0,999637.7,360.49,999637.7,0.0
2025-04-21 10:06:00,0,999637.7,360.38,999637.7,0.0
2025-04-21 10:06:30,0,999637.7,360.31,999637.7,0.0
2025-04-21 10:07:00,0,999637.7,360.47,999637.7,0.0
2025-04-21 10:07:30,0,999637.7,360.49,999637.7,0.0
2025-04-21 10:08:00,0,999637.7,360.28,999637.7,0.0
2025-04-21 10:08:30,0,999637.7,360.25,999637.7,0.0
2025-04-21 10:09:00,0,999637.7,360.37,999637.7,0.0
2025-04-21 10:09:30,0,999637.7,360.19,999637.7,0.0
2025-04-21 10:10:00,0,999637.7,360.25,999637.7,0.0
2025-04-21 10:10:30,0,999637.7,360.26,999637.7,0.0
2025-04-21 10:11:00,0,999637.7,360.19,999637.7,0.0
2025-04-21 10:11:30,0,999637.7,360.35,999637.7,0.0
2025-04-21 10:12:00,0,999637.7,360.4,999637.7,0.0
2025-04-21 10:12:30,0,999637.7,360.44,999637.7,0.0
2025-04-21 10:13:00,0,999637.7,360.36,999637.7,0.0
2025-04-21 10:13:30,0,999637.7,360.21,999637.7,0.0
2025-04-21 10:14:00,0,999637.7,359.99,999637.7,0.0
2025-04-21 10:14:30,0,999637.7,360.01,999637.7,0.0
2025-04-21 10:15:00,0,999637.7,360.19,999637.7,0.0
2025-04-21 10:15:30,0,999637.7,360.09,999637.7,0.0
2025-04-21 10:16:00,0,999637.7,359.96,999637.7,0.0
2025-04-21 10:16:30,0,999637.7,359.78,999637.7,0.0
2025-04-21 10:17:00,0,999637.7,359.75,999637.7,0.0
2025-04-21 10:17:30,0,999637.7,359.95,999637.7,0.0
2025-04-21 10:18:00,0,999637.7,359.88,999637.7,0.0
2025-04-21 10:18:30,0,999637.7,359.77,999637.7,0.0
2025-04-21 10:19:00,0,999637.7,359.77,999637.7,0.0
2025-04-21 10:19:30,0,999637.7,359.91,999637.7,0.0
2025-04-21 10:20:00,0,999637.7,360.09,999637.7,0.0
2025-04-21 10:20:30,0,999637.7,360.06,999637.7,0.0
2025-04-21 10:21:00,0,999637.7,360.0,999637.7,0.0
2025-04-21 10:21:30,0,999637.7,360.17,999637.7,0.0
2025-04-21 10:22:00,0,999637.7,360.19,999637.7,0.0
2025-04-21 10:22:30,0,999637.7,360.07,999637.7,0.0
2025-04-21 10:23:00,0,999637.7,360.11,999637.7,0.0
2025-04-21 10:23:30,0,999637.7,360.06,999637.7,0.0
2025-04-21 10:24:00,0,999637.7,360.14,999637.7,0.0
2025-04-21 10:24:30,0,999637.7,360.06,999637.7,0.0
2025-04-21 10:25:00,0,999637.7,360.17,999637.7,0.0
2025-04-21 10:25:30,0,999637.7,360.29,999637.7,0.0
2025-04-21 10:26:00,0,999637.7,360.24,999637.7,0.0
2025-04-21 10:26:30,0,999637.7,360.3,999637.7,0.0
2025-04-21 10:27:00,0,999637.7,360.16,999637.7,0.0
2025-04-21 10:27:30,0,999637.7,360.04,999637.7,0.0
2025-04-21 10:28:00,0,999637.7,359.94,999637.7,0.0
2025-04-21 10:28:30,0,999637.7,360.07,999637.7,0.0
2025-04-21 10:29:00,0,999637.7,360.13,999637.7,0.0
2025-04-21 10:29:30,0,999637.7,360.23,999637.7,0.0
2025-04-21 10:30:00,0,999637.7,360.3,999637.7,0.0
2025-04-21 10:30:30,0,999637.7,360.31,999637.7,0.0
2025-04-21 10:31:00,0,999637.7,360.23,999637.7,0.0
2025-04-21 10:31:30,0,999637.7,360.02,999637.7,0.0
2025-04-21 10:32:00,0,999637.7,360.0,999637.7,0.0
2025-04-21 10:32:30,0,999637.7,359.96,999637.7,0.0
2025-04-21 10:33:00,0,999637.7,359.96,999637.7,0.0
2025-04-21 10:33:30,0,999637.7,360.08,999637.7,0.0
2025-04-21 10:34:00,0,999637.7,360.29,999637.7,0.0
2025-04-21 10:34:30,0,999637.7,360.33,999637.7,0.0
2025-04-21 10:35:00,0,999637.7,360.5,999637.7,0.0
2025-04-21 10:35:30,1,999277.2,360.49,999637.69,-0.01
2025-04-21 10:36:00,1,999277.2,360.52,999637.725,0.0
2025-04-21 10:36:30,1,999277.2,360.78,999637.985,0.0
2025-04-21 10:37:00,1,999277.2,360.74,999637.94,0.0
2025-04-21 10:37:30,1,999277.2,360.8,999638.0,0.0
2025-04-21 10:38:00,1,999277.2,361.0,999638.205,0.0
2025-04-21 10:38:30,1,999277.2,361.06,999638.265,0.0
2025-04-21 10:39:00,1,999277.2,361.15,999638.35,0.0
2025-04-21 10:39:30,1,999277.2,361.16,999638.36,0.0
2025-04-21 10:40:00,1,999277.2,361.14,999638.345,0.0
2025-04-21 10:40:30,1,999277.2,361.34,999638.535,0.0
2025-04-21 10:41:00,1,999277.2,361.4,999638.605,0.0
2025-04-21 10:41:30,1,999277.2,361.44,999638.64,0.0
2025-04-21 10:42:00,1,999277.2,361.44,999638.645,0.0
2025-04-21 10:42:30,1,999277.2,361.27,999638.47,0.0
2025-04-21 10:43:00,2,998916.13,361.06,999638.25,-0.02
2025-04-21 10:43:30,2,998916.13,361.03,999638.2,0.0
2025-04-21 10:44:00,2,998916.13,360.88,999637.89,0.0
2025-04-21 10:44:30,2,998916.13,360.71,999637.55,0.0
2025-04-21 10:45:00,2,998916.13,360.57,999637.28,0.0
2025-04-21 10:45:30,2,998916.13,360.62,999637.38,0.0
2025-04-21 10:46:00,2,998916.13,360.69,999637.5,0.0
