timestamp,inventory,cash_position,mid_price,portfolio_value,unrealized_pnl
2025-03-05 11:15:00,-2,1000392.07,391.38,999609.31,1.38
2025-03-05 12:00:00,-3,1000785.41,392.73,999607.22,1.83
2025-03-05 12:30:00,-2,1000390.79,394.93,999600.94,-0.61
2025-03-05 13:30:00,-3,1000786.28,394.94,999601.475,1.665
2025-03-05 14:15:00,-2,1000387.76,398.94,999589.89,-0.83
2025-03-05 14:45:00,-1,999988.92,399.41,999589.51,-0.57
2025-03-05 15:30:00,0,999588.96,400.38,999588.96,0.0
2025-03-06 12:15:00,1,999193.7,395.92,999589.625,0.665
2025-03-06 12:30:00,2,998798.16,396.01,999590.18,0.94
2025-03-06 13:00:00,3,998401.23,397.37,999593.34,1.32
2025-03-06 13:15:00,4,998004.25,397.59,999594.61,2.44
2025-03-06 13:30:00,5,997608.29,396.75,999592.015,3.925
2025-03-06 13:45:00,6,997211.97,396.8,999592.77,2.88
2025-03-06 14:00:00,7,996816.41,396.24,999590.09,4.76
2025-03-06 14:15:00,8,996421.46,395.55,999585.86,4.8
2025-03-06 14:30:00,9,996027.16,394.81,999580.405,4.545
2025-03-06 15:00:00,0,999594.3,395.42,999594.3,-0.0
2025-03-07 11:45:00,1,999208.48,386.28,999594.765,0.465
2025-03-07 13:15:00,2,998818.69,390.26,999599.21,0.94
2025-03-07 13:45:00,3,998427.88,391.28,999601.72,1.41
2025-03-07 14:00:00,4,998036.44,392.01,999604.48,2.28
2025-03-07 14:30:00,5,997643.24,393.71,999611.79,2.55
2025-03-07 14:45:00,6,997250.66,392.96,999608.42,2.28
2025-03-07 15:00:00,7,996858.35,392.94,999608.93,4.41
2025-03-07 15:15:00,8,996466.4,392.5,999606.36,4.36
2025-03-10 09:30:00,9,996082.71,384.98,999547.53,11.61
2025-03-10 09:45:00,0,999557.49,384.62,999557.49,-0.0
2025-03-10 12:45:00,1,999177.22,380.88,999558.105,0.615
2025-03-10 13:00:00,2,998797.26,380.62,999558.49,1.31
2025-03-10 13:15:00,3,998416.84,380.85,999559.375,1.275
2025-03-10 13:30:00,4,998037.76,379.87,999557.22,3.14
2025-03-10 13:45:00,5,997658.82,379.41,999555.895,2.375
2025-03-10 14:00:00,6,997280.53,379.23,999555.91,5.64
2025-03-10 14:15:00,7,996901.23,379.65,999558.78,2.45
2025-03-10 14:30:00,8,996522.05,379.68,999559.49,4.0
2025-03-10 14:45:00,9,996143.44,379.32,999557.32,6.39
2025-03-10 15:00:00,0,999556.35,378.15,999556.35,-0.0
2025-03-11 13:00:00,1,999177.6,379.09,999556.685,0.335
2025-03-11 13:45:00,2,998799.22,379.05,999557.32,1.34
2025-03-11 14:15:00,3,998417.97,381.87,999563.58,1.86
2025-03-11 15:30:00,4,998035.9,382.69,999566.66,2.48
2025-03-12 09:30:00,5,997655.69,382.5,999568.165,11.425
2025-03-12 10:15:00,6,997276.2,380.15,999557.13,3.99
2025-03-12 10:30:00,7,996896.32,380.59,999560.45,4.97
